Date,DAU 
01-Sep-21,13421
02-Sep-21,15858
03-Sep-21,15832
04-Sep-21,17144
05-Sep-21,18753
06-Sep-21,16273
07-Sep-21,18850
08-Sep-21,14999
09-Sep-21,16691
10-Sep-21,17694
11-Sep-21,19963
12-Sep-21,18592
13-Sep-21,17823
14-Sep-21,19266
15-Sep-21,16062
16-Sep-21,21035
17-Sep-21,19778
18-Sep-21,20761
19-Sep-21,24511
20-Sep-21,21443
21-Sep-21,16959
22-Sep-21,19007
23-Sep-21,16686
24-Sep-21,16885
25-Sep-21,16295
26-Sep-21,19893
27-Sep-21,15965
28-Sep-21,15908
29-Sep-21,15558
30-Sep-21,18028
01-Oct-21,13555
02-Oct-21,16210
03-Oct-21,13931
04-Oct-21,16139
05-Oct-21,11342
06-Oct-21,14352
07-Oct-21,15237
08-Oct-21,13435
09-Oct-21,13941
10-Oct-21,12701
11-Oct-21,14119
12-Oct-21,14619
13-Oct-21,13951
14-Oct-21,12757
15-Oct-21,13272
16-Oct-21,15548
17-Oct-21,16542
18-Oct-21,16270
19-Oct-21,18495
20-Oct-21,18532
21-Oct-21,23649
22-Oct-21,21875
23-Oct-21,22930
24-Oct-21,20084
25-Oct-21,24573
26-Oct-21,21812
27-Oct-21,20769
28-Oct-21,20841
29-Oct-21,22386
30-Oct-21,24472
31-Oct-21,26848
01-Nov-21,24685
02-Nov-21,28940
03-Nov-21,21980
04-Nov-21,13689
05-Nov-21,20583
06-Nov-21,18962
07-Nov-21,16843
08-Nov-21,20190
09-Nov-21,28804
10-Nov-21,26622
11-Nov-21,25431
12-Nov-21,26722
13-Nov-21,22114
14-Nov-21,22447
15-Nov-21,21756
16-Nov-21,24574
17-Nov-21,26068
18-Nov-21,30064
19-Nov-21,27745
20-Nov-21,25517
21-Nov-21,26042
22-Nov-21,31216
23-Nov-21,26975
24-Nov-21,26256
25-Nov-21,25877
26-Nov-21,26358
27-Nov-21,27865
28-Nov-21,31282
29-Nov-21,28233
30-Nov-21,16960
01-Dec-21,24012
02-Dec-21,26767
03-Dec-21,27997
04-Dec-21,33329
05-Dec-21,28016
06-Dec-21,30606
07-Dec-21,26345
08-Dec-21,27084
09-Dec-21,30121
10-Dec-21,29911
11-Dec-21,31493
12-Dec-21,25063
13-Dec-21,26224
14-Dec-21,30672
15-Dec-21,28252
16-Dec-21,34319
17-Dec-21,37544
18-Dec-21,29238
19-Dec-21,32057
